1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,119739
52,129318
53,139663
54,150836
55,162902
56,175934
57,190008
58,205208
59,221624
60,221624
61,221624
62,221624
63,221624
64,221624
65,238245
66,256113
67,275321
68,295970
69,318167
70,342029
71,367681
72,395257
73,424901
74,456768
75,488741
76,522952
77,559558
78,598727
79,640637
80,685481
81,733464
82,784806
83,839742
84,898523
85,961419
86,1028718
87,1100728
88,1177778
89,1260222
90,1342136
91,1429374
92,1522283
93,1621231
94,1726611
95,1838840
96,1958364
97,2085657
98,2221224
99,2365603
100,2365603
101,2365603
102,2365603
103,2365603
104,2365603
105,2519367
106,2683125
107,2857528
108,3043267
109,3241079
110,3451749
111,3676112
112,3915059
113,4169537
114,4440556
115,4729192
116,5036589
117,5363967
118,5712624
119,6083944
120,6479400
121,6900561
122,7349097
123,7826788
124,8335529
125,8877338
126,9454364
127,10068897
128,10723375
129,11420394
130,12162719
131,12953295
132,13795259
133,14691950
134,15646926
135,16663976
136,17747134
137,18900697
138,20129242
139,21437642
140,22777494
141,24201087
142,25713654
143,27320757
144,29028304
145,30842573
146,32770233
147,34818372
148,36994520
149,39306677
150,41763344
151,44373553
152,47146900
153,50093581
154,53224429
155,56550955
156,60085389
157,63840725
158,67830770
159,72070193
160,76574580
161,81360491
162,86445521
163,91848366
164,97588888
165,103688193
166,110168705
167,117054249
168,124370139
169,132143272
170,138750435
171,145687956
172,152972353
173,160620970
174,168652018
175,177084618
176,185938848
177,195235790
178,204997579
179,215247457
180,226009829
181,237310320
182,249175836
183,261634627
184,274716358
185,288452175
186,302874783
187,318018522
188,333919448
189,350615420
190,368146191
191,386553500
192,405881175
193,426175233
194,447483994
195,469858193
196,493351102
197,518018657
198,543919589
199,571115568
